"image","xmin","ymin","xmax","ymax","label"
"0511-08314587114.png",193,178,222,268,2
"0511-08314587114.png",323,180,352,270,2
"0511-08314587114.png",62,174,95,265,2
"0511-08314687134.png",193,176,222,265,2
"0511-08314687134.png",325,179,354,269,2
"0511-08314687134.png",63,174,92,262,2
"0511-08314787194.png",196,162,227,256,2
"0511-08314787194.png",334,165,367,260,2
"0511-08314787194.png",59,160,90,253,2
"0511-08314787214.png",199,156,230,251,2
"0511-08314787214.png",340,158,372,255,2
"0511-08314787214.png",58,154,89,248,2
"0511-08314887235.png",200,149,234,247,2
"0511-08314887235.png",346,151,381,248,2
"0511-08314887235.png",57,145,88,244,2
"0511-08314887254.png",203,138,238,240,2
"0511-08314887254.png",354,142,390,243,2
"0511-08314887254.png",53,135,87,237,2
"0511-08314987274.png",204,128,242,233,2
"0511-08314987274.png",361,129,398,237,2
"0511-08314987274.png",51,124,85,228,2
"0511-08314987294.png",205,110,245,221,2
"0511-08314987294.png",371,113,409,225,2
"0511-08314987294.png",42,108,81,217,2
"0511-08315087354.png",11,48,54,178,2
"0511-08315087354.png",205,52,250,183,2
"0511-08315087354.png",205,52,250,183,2
"0511-08315187376.png",0,22,45,160,2
"0511-08315187376.png",202,24,249,164,2
"0511-08315187394.png",199,0,249,148,2
"0511-08322389014.png",121,352,130,380,2
"0511-08322389014.png",158,354,168,380,2
"0511-08322389014.png",194,356,203,382,2
"0511-08322489034.png",121,350,130,378,2
"0511-08322489034.png",158,352,167,379,2
"0511-08322489034.png",196,353,205,380,2
"0511-08322489054.png",114,348,123,376,2
"0511-08322489054.png",152,349,163,376,2
"0511-08322489054.png",191,351,201,379,2
"0511-08322589074.png",108,346,117,375,2
"0511-08322589074.png",147,346,157,375,2
"0511-08322589074.png",188,348,198,377,2
"0511-08322589094.png",100,343,110,373,2
"0511-08322589094.png",141,343,151,375,2
"0511-08322589094.png",183,345,193,375,2
"0511-08322689154.png",125,334,136,367,2
"0511-08322689154.png",171,339,182,369,2
"0511-08322689154.png",78,332,89,366,2
"0511-08322789214.png",137,323,149,359,2
"0511-08322789214.png",189,326,201,360,2
"0511-08322789214.png",84,321,97,358,2
"0511-08322889234.png",142,318,155,357,2
"0511-08322889234.png",196,321,208,359,2
"0511-08322889234.png",87,316,100,354,2
"0511-08322989295.png",158,303,172,348,2
"0511-08322989295.png",220,306,233,349,2
