"image","xmin","ymin","xmax","ymax","label"
"0511-08314587114.png",17,178,57,263,2
"0511-08314587114.png",190,178,228,266,2
"0511-08314587114.png",361,182,402,270,2
"0511-08314987314.png",208,94,259,210,2
"0511-08314987294.png",0,109,42,218,2
"0511-08314987294.png",206,112,257,220,2
"0511-08314687154.png",14,171,51,260,2
"0511-08314687154.png",190,173,229,262,2
"0511-08314687154.png",367,175,407,265,2
"0511-08315087334.png",207,76,261,197,2
"0511-08323289434.png",27,241,58,306,2
"0511-08323289434.png",157,244,185,310,2
"0511-08323289434.png",283,249,312,312,2
"0511-08323189394.png",55,265,80,321,2
"0511-08323189394.png",166,268,192,324,2
"0511-08323189394.png",278,272,302,327,2
"0511-08323189374.png",65,272,90,326,2
"0511-08323189374.png",171,276,195,328,2
"0511-08323189374.png",274,279,297,331,2
"0511-08323389474.png",0,210,29,287,2
"0511-08323389474.png",146,213,179,290,2
"0511-08323389474.png",297,219,329,293,2
"0511-08323289454.png",11,228,43,299,2
"0511-08323289454.png",152,231,182,302,2
"0511-08323289454.png",288,235,321,306,2
"0511-08323489534.png",122,122,171,228,2
"0511-08323489534.png",330,129,378,235,2
"0511-08323389494.png",140,188,178,272,2
"0511-08323389494.png",305,194,343,276,2
"0511-08323589574.png",111,19,173,160,2
"0511-08334893254.png",75,219,108,290,2
"0511-08334893254.png",216,224,248,295,2
"0511-08334893254.png",354,230,385,299,2
"0511-08334893234.png",93,239,122,305,2
"0511-08334893234.png",220,244,251,310,2
"0511-08334893234.png",348,249,377,313,2
"0511-08323489554.png",112,79,167,198,2
"0511-08323489554.png",348,88,403,206,2
"0511-08334993274.png",56,207,90,287,2
"0511-08334993274.png",211,215,245,291,2
"0511-08334993274.png",359,221,394,296,2
"0511-08334993294.png",33,182,71,269,2
"0511-08334993294.png",204,190,242,275,2
"0511-08334993294.png",368,197,405,281,2
"0511-08335093354.png",181,72,235,195,2
"0511-08334993314.png",7,144,49,240,2
"0511-08334993314.png",196,154,238,248,2
"0511-08334993314.png",379,162,415,257,2
"0511-08335093335.png",189,118,238,226,2
"0511-08341394474.png",46,261,71,319,3
"0511-08341394474.png",157,264,184,322,3
"0511-08341394474.png",268,268,293,324,3
"0511-08341394494.png",49,253,75,313,3
"0511-08341394494.png",168,256,196,318,3
"0511-08341394494.png",287,259,314,322,3
"0511-08335193374.png",170,17,234,163,2
"0511-08341494534.png",38,229,69,300,1
"0511-08341494534.png",179,233,210,304,1
"0511-08341494534.png",316,236,349,308,1
"0511-08341494554.png",19,208,54,287,1
"0511-08341494554.png",174,214,208,293,1
"0511-08341494554.png",324,218,361,296,1
"0511-08341594594.png",161,155,203,249,1
"0511-08341594594.png",346,161,387,255,1
"0511-08341594574.png",0,174,38,260,1
"0511-08341594574.png",167,178,205,264,1
"0511-08341594574.png",335,184,372,270,1
"0511-08341594614.png",153,119,200,227,1
"0511-08341594614.png",361,128,407,233,1
"0511-08341694634.png",145,72,201,194,1
"0511-08341694634.png",386,83,416,204,1
"0511-08341694654.png",145,19,209,160,1
"0511-083718103734.png",115,258,142,316,3
"0511-083718103734.png",232,257,261,319,3
"0511-083718103734.png",352,259,380,320,3
"0511-083719103774.png",70,232,102,302,3
"0511-083719103774.png",208,235,240,304,3
"0511-083719103774.png",347,237,379,307,3
"0511-083717103715.png",138,267,163,324,3
"0511-083717103715.png",247,267,274,324,3
"0511-083717103715.png",360,268,385,325,3
"0511-083720103834.png",0,161,41,251,3
"0511-083720103834.png",181,159,224,255,3
"0511-083720103834.png",368,163,410,257,3
"0511-083720103854.png",176,127,221,231,3
"0511-083719103794.png",48,214,80,289,3
"0511-083719103794.png",198,215,233,292,3
"0511-083719103794.png",350,216,385,293,3
"0511-083719103814.png",191,183,228,266,3
"0511-083719103814.png",24,181,61,264,3
"0511-083719103814.png",357,184,395,268,3
"0511-083822106954.png",67,221,99,295,2
"0511-083822106954.png",212,222,244,296,2
"0511-083822106954.png",360,223,392,296,2
"0511-083721103894.png",162,19,223,160,3
"0511-083821106914.png",69,247,96,311,2
"0511-083821106914.png",192,248,220,312,2
"0511-083821106914.png",317,251,344,313,2
"0511-083822106934.png",70,237,98,305,2
"0511-083822106934.png",203,239,231,307,2
"0511-083822106934.png",337,242,366,308,2
"0511-083823106994.png",237,175,276,266,2
"0511-083823106994.png",62,174,101,263,2
"0511-083823106974.png",65,191,100,271,2
"0511-083823106974.png",224,193,259,274,2
"0511-083823106974.png",386,193,416,275,2
"0511-083824107035.png",19,97,68,211,2
"0511-083824107035.png",242,99,290,214,2
"0511-083824107054.png",225,48,281,178,2
"0511-083825107074.png",205,0,271,141,2
"0511-083958111734.png",108,259,133,317,3
"0511-083958111734.png",224,261,249,321,3
"0511-083959111774.png",119,223,149,293,3
"0511-083959111774.png",254,229,284,295,3
"0511-083959111794.png",123,218,157,293,3
"0511-083959111794.png",271,223,305,296,3
"0511-083959111814.png",128,196,165,278,3
"0511-083959111814.png",292,202,329,281,3
"0511-084001111874.png",123,83,173,200,1
"0511-084001111874.png",355,90,408,208,1
"0511-084109115314.png",55,259,80,317,3
"0511-084109115314.png",170,263,194,320,3
"0511-084109115314.png",282,266,307,323,3
"0511-084001111894.png",119,25,180,162,1
"0511-084001111894.png",394,37,415,171,1
"0511-084000111854.png",126,126,171,230,1
"0511-084000111854.png",330,133,375,236,1
"0511-084000111834.png",131,157,170,250,1
"0511-084000111834.png",313,164,353,257,1
"0511-084111115414.png",149,182,190,269,3
"0511-084111115414.png",321,188,362,274,3
"0511-084111115374.png",14,212,44,285,3
"0511-084111115374.png",157,217,190,290,3
"0511-084111115374.png",300,221,332,292,3
"0511-084110115355.png",31,236,59,303,3
"0511-084110115355.png",163,240,193,306,3
"0511-084110115355.png",293,243,324,309,3
"0511-084110115334.png",46,250,74,313,3
"0511-084110115334.png",168,254,197,314,3
"0511-084110115334.png",290,258,318,319,3
"0511-084113115494.png",141,3,210,148,3
"0511-084113115474.png",144,57,201,187,3
"0511-084112115434.png",148,144,194,241,3
"0511-084112115434.png",340,151,384,246,3
"0511-084112115454.png",148,106,197,218,3
"0511-084112115454.png",364,116,413,223,3
"0511-084251120343.png",197,124,245,230,3
"0511-084251120343.png",0,122,37,225,3
"0511-084252120383.png",198,106,250,219,3
"0511-084252120364.png",196,115,248,225,3
"0511-084253120423.png",199,88,254,207,3
"0511-084253120403.png",198,98,251,213,3
"0511-084253120443.png",199,81,254,200,3
"0511-084255120523.png",200,42,262,176,3
"0511-084254120463.png",200,71,257,195,3
"0511-084255120504.png",202,51,261,182,3
"0511-084254120483.png",200,62,260,188,3
"0511-084255120544.png",200,32,264,169,3
"0511-084256120583.png",204,14,268,159,3
"0511-084319121743.png",316,260,344,319,2
"0511-084257120603.png",208,0,273,139,3
"0511-084319121723.png",313,263,338,322,2
"0511-084321121823.png",231,194,267,275,2
"0511-084322121863.png",216,146,259,245,2
"0511-084321121843.png",213,175,252,265,2
"0511-084320121783.png",251,243,281,309,2
"0511-084320121783.png",384,246,415,312,2
"0511-084321121803.png",256,226,290,299,2
"0511-084409124225.png",33,252,60,314,3
"0511-084409124225.png",154,256,183,318,3
"0511-084323121923.png",230,17,293,159,2
"0511-084323121903.png",222,64,282,190,2
"0511-084409124205.png",146,264,172,321,3
"0511-084409124205.png",32,259,58,317,3
"0511-084322121883.png",219,108,270,219,2
"0511-084411124305.png",85,196,122,280,3
"0511-084411124305.png",247,201,287,285,3
"0511-084410124285.png",93,215,126,293,3
"0511-084410124285.png",243,220,276,296,3
"0511-084409124245.png",101,241,131,307,3
"0511-084409124245.png",231,246,261,311,3
"0511-084410124265.png",99,223,129,295,3
"0511-084410124265.png",239,228,270,298,3
"0511-084413124405.png",1,32,58,165,3
"0511-084413124405.png",268,44,327,175,3
"0511-084447126105.png",61,260,86,319,3
"0511-084447126105.png",174,265,200,323,3
"0511-084447126105.png",283,268,308,326,3
"0511-084411124345.png",67,141,112,240,3
"0511-084411124345.png",260,150,304,247,3
"0511-084412124385.png",24,82,74,200,3
"0511-084412124385.png",259,92,310,209,3
"0511-084412124365.png",45,114,92,221,3
"0511-084412124365.png",256,123,305,229,3
"0511-084447126145.png",46,245,76,309,3
"0511-084447126145.png",173,248,202,313,3
"0511-084447126145.png",294,254,323,316,3
"0511-084448126166.png",36,233,67,301,3
"0511-084448126166.png",172,236,203,305,3
"0511-084448126166.png",303,242,334,309,3
"0511-084448126185.png",20,214,54,290,3
"0511-084448126185.png",170,220,205,296,3
"0511-084448126185.png",317,225,348,301,3
"0511-084604129952.png",285,236,316,305,3
"0511-084603129931.png",241,254,269,316,3
"0511-084603129931.png",363,255,391,316,3
"0511-084449126225.png",122,139,166,239,3
"0511-084449126225.png",314,148,358,246,3
"0511-084449126245.png",185,84,235,201,3
"0511-084603129912.png",250,270,274,326,3
"0511-084603129912.png",359,271,384,325,3
"0511-084625131039.png",155,249,182,312,2
"0511-084625131039.png",279,250,307,313,2
"0511-084627131099.png",330,159,370,255,2
"0511-084627131099.png",142,158,182,252,2
"0511-084626131079.png",147,190,183,271,2
"0511-084626131079.png",311,190,343,273,2
"0511-084626131059.png",151,232,182,301,2
"0511-084626131059.png",291,232,321,302,2
"0511-084604129972.png",360,188,398,271,3
"0511-084627131119.png",134,98,182,211,2
"0511-084627131119.png",362,100,407,213,2
"0511-084655132499.png",81,208,115,285,1
"0511-084627131140.png",123,20,184,161,2
"0511-084655132539.png",87,73,141,193,1
"0511-084655132539.png",329,79,383,198,1
"0511-084723133933.png",132,215,165,287,3
"0511-084723133933.png",276,218,308,291,3
"0511-084722133893.png",162,244,191,309,3
"0511-084722133893.png",33,239,62,304,3
"0511-084722133893.png",289,248,319,312,3
"0511-084656132559.png",72,0,134,145,1
"0511-084656132559.png",370,7,416,153,1
"0511-084723133913.png",9,228,40,296,3
"0511-084723133913.png",147,232,179,299,3
"0511-084723133913.png",281,236,313,305,3
"0511-084754135453.png",131,227,163,298,2
"0511-084754135453.png",273,228,305,301,2
"0511-084753135433.png",179,270,205,325,2
"0511-084753135433.png",287,272,313,327,2
"0511-084753135433.png",399,273,416,328,2
"0511-084726134053.png",72,42,129,175,3
"0511-084726134053.png",337,39,398,174,3
"0511-084754135473.png",98,144,141,243,2
"0511-084754135473.png",292,147,337,246,2
"0511-084754135493.png",53,11,116,154,2
"0511-084754135493.png",344,10,405,155,2
"0511-084907139134.png",132,195,170,278,2
"0511-084907139134.png",297,198,334,282,2
"0511-084806136093.png",74,234,104,303,3
"0511-084807136113.png",16,125,60,230,3
"0511-085058144673.png",37,240,66,305,2
"0511-085058144673.png",168,243,195,308,2
"0511-085058144673.png",296,246,325,312,2
"0511-085059144713.png",9,208,45,285,2
"0511-085059144713.png",164,213,198,290,2
"0511-085059144713.png",314,218,349,294,2
"0511-085058144653.png",39,253,67,313,2
"0511-085058144653.png",161,255,187,316,2
"0511-085058144653.png",281,258,308,319,2
"0511-085058144693.png",167,224,200,294,2
"0511-085058144693.png",308,229,338,300,2
"0511-085058144693.png",27,222,59,292,2
"0511-084940140753.png",14,222,45,293,2
"0511-085100144753.png",150,156,193,250,2
"0511-085100144753.png",335,165,376,254,2
"0511-085100144794.png",133,80,188,200,2
"0511-085100144794.png",370,90,416,205,2
"0511-085101144813.png",134,24,196,160,2
"0511-085059144733.png",157,190,194,274,2
"0511-085059144733.png",324,197,363,280,2
"0511-093033261759.png",206,135,252,237,2
"0511-093033261759.png",4,134,49,234,2
"0511-093031261660.png",17,169,56,257,2
"0511-093031261660.png",193,171,232,263,2
"0511-093031261660.png",372,175,414,266,2
"0511-093032261720.png",11,150,53,247,2
"0511-093032261720.png",200,153,243,251,2
"0511-093033261779.png",0,120,46,226,2
"0511-093033261779.png",208,119,254,227,2
"0511-093030261619.png",18,176,56,262,2
"0511-093030261619.png",190,179,229,265,2
"0511-093030261619.png",365,180,405,270,2
"0511-093034261839.png",207,68,262,192,2
"0511-093035261879.png",200,18,263,162,2
"0511-093117263959.png",26,221,58,295,2
"0511-093117263959.png",171,226,203,299,2
"0511-093117263959.png",314,230,346,301,2
"0511-093116263919.png",53,247,80,311,2
"0511-093116263919.png",176,250,204,313,2
"0511-093116263919.png",297,255,325,315,2
"0511-103940265599.png",5,134,48,236,3
"0511-103940265599.png",208,136,252,237,3
"0511-103940265619.png",0,122,47,224,3
"0511-103940265619.png",209,122,256,229,3
"0511-103939265559.png",11,152,54,247,3
"0511-103939265559.png",201,154,243,252,3
"0511-093119264079.png",133,0,200,150,2
"0511-103942265699.png",205,44,263,177,3
"0511-103943265739.png",196,0,265,139,3
"0511-103941265679.png",207,69,263,192,3
"0511-103941265639.png",209,106,261,218,3
"0511-103942265719.png",200,21,265,163,3
"0511-104025267859.png",140,151,185,250,3
"0511-104025267859.png",332,157,376,252,3
"0511-104024267799.png",25,223,57,296,3
"0511-104024267799.png",170,227,200,298,3
"0511-104024267799.png",310,231,343,302,3
"0511-104024267819.png",156,200,192,277,3
"0511-104024267819.png",312,204,347,281,3
"0511-104024267819.png",0,196,36,273,3
"0511-104023267760.png",55,248,83,312,3
"0511-104023267760.png",178,252,206,315,3
"0511-104023267760.png",298,256,327,316,3
"0511-104026267899.png",135,62,191,187,3
"0511-104128269860.png",1,131,48,234,2
"0511-104128269860.png",206,131,254,236,2
"0511-104125269700.png",18,177,55,262,2
"0511-104125269700.png",189,179,229,266,2
"0511-104125269700.png",362,181,403,271,2
"0511-104026267919.png",130,7,196,153,3
"0511-104129269900.png",209,100,261,213,2
"0511-104128269880.png",206,117,255,224,2
"0511-104128269880.png",0,116,44,220,2
"0511-104129269940.png",204,62,266,188,2
"0511-104130269980.png",197,12,263,158,2
"0511-104211272000.png",52,257,77,316,2
"0511-104211272000.png",170,260,195,319,2
"0511-104211272000.png",284,264,310,320,2
"0511-104129269920.png",207,82,262,201,2
"0511-104214272160.png",136,43,194,173,2
"0511-104328275880.png",42,193,79,277,2
"0511-104328275880.png",205,200,244,283,2
"0511-104328275880.png",364,208,402,288,2
"0511-104329275940.png",182,91,237,209,2
"0511-104327275840.png",81,224,114,295,2
"0511-104327275840.png",218,227,251,297,2
"0511-104327275840.png",349,233,383,303,2
"0511-104329275920.png",192,133,238,234,2
"0511-104329275920.png",390,142,416,243,2
"0511-104329275920.png",0,125,33,227,2
"0511-104353277100.png",55,244,83,308,2
"0511-104353277100.png",181,249,210,311,2
"0511-104353277100.png",305,252,334,315,2
"0511-104352277060.png",49,264,73,322,1
"0511-104352277060.png",159,268,185,324,1
"0511-104352277060.png",266,272,292,326,1
"0511-104352277080.png",53,257,80,317,1
"0511-104352277080.png",170,260,197,322,1
"0511-104352277080.png",284,263,313,324,1
"0511-104330275960.png",174,34,235,169,2
"0511-104354277160.png",5,191,42,275,2
"0511-104354277160.png",168,196,206,280,2
"0511-104354277160.png",328,204,364,285,2
"0511-104354277180.png",164,165,207,257,2
"0511-104354277180.png",343,171,382,261,2
"0511-104353277140.png",23,217,57,291,2
"0511-104353277140.png",174,220,206,297,2
"0511-104353277140.png",319,226,353,302,2
"0511-104355277220.png",159,90,211,207,2
"0511-104355277220.png",388,100,416,213,2
"0511-104657286340.png",111,248,140,310,3
"0511-104657286340.png",237,250,264,312,3
"0511-104657286340.png",361,251,390,313,3
"0511-104658286380.png",65,220,97,294,3
"0511-104658286380.png",210,223,243,297,3
"0511-104658286380.png",359,225,392,298,3
"0511-104659286400.png",40,193,74,274,3
"0511-104659286400.png",199,193,235,277,3
"0511-104659286400.png",360,196,398,277,3
"0511-104355277240.png",156,35,217,169,2
"0511-104700286480.png",165,42,223,177,3
"0511-104701286500.png",159,1,225,135,3
"0511-104801289500.png",73,253,98,313,2
"0511-104801289500.png",192,254,219,315,2
"0511-104801289500.png",315,255,342,317,2
"0511-104659286420.png",13,171,52,258,3
"0511-104659286420.png",189,172,231,262,3
"0511-104659286420.png",370,172,410,265,3
"0511-104802289561.png",68,200,104,279,2
"0511-104802289561.png",222,203,257,281,2
"0511-104802289561.png",378,204,415,281,2
"0511-104803289600.png",60,155,102,250,2
"0511-104803289600.png",249,155,291,252,2
"0511-104803289620.png",27,113,76,222,3
"0511-104803289620.png",241,114,290,224,3
"0511-104802289580.png",68,183,104,269,2
"0511-104802289580.png",236,184,273,272,2
"0511-104803289640.png",226,66,280,191,3
"0511-104803289640.png",0,68,36,189,3
"0511-104939294400.png",124,202,160,282,1
"0511-104939294400.png",283,208,319,287,1
"0511-104937294340.png",109,249,136,312,1
"0511-104937294340.png",233,252,260,315,1
"0511-104938294380.png",120,224,153,298,1
"0511-104938294380.png",264,228,298,300,1
"0511-104938294360.png",114,234,144,303,1
"0511-104938294360.png",247,239,278,305,1
"0511-104804289660.png",208,11,271,159,3
"0511-104940294480.png",119,49,174,176,2
"0511-104940294480.png",379,58,416,186,2
"0511-104940294460.png",123,99,172,212,2
"0511-104940294460.png",346,109,395,217,2
"0511-104939294420.png",130,171,168,260,2
"0511-104939294420.png",305,177,345,265,2
"0511-104941294500.png",117,0,183,137,2
"0511-105050297980.png",11,211,46,287,3
"0511-105050297980.png",167,215,201,290,3
